"countyCode","weighted_fatality"
"501","53073",0.0111802
"502","04001",0.00997418
"503","04015",0.01836944
"504","04019",0.01264684
"505","05143",0.00781516
"506","06095",0.01061016
"507","11001",0.0085219
"508","12109",0.01295672
"509","16083",0.01041308
"510","17115",0.01349408
"511","18167",0.01071434
"512","21037",0.01076366
"513","22019",0.0102087
"514","22097",0.0103104
"515","25023",0.01205882
"516","29043",0.01039156
"517","30049",0.01174648
"518","35025",0.00746032
"519","39157",0.01283638
"520","40125",0.01120208
"521","45091",0.00955062
"522","48441",0.00988342
"523","48471",0.00906694
"524","50007",0.01054366
"525","51740",0.0100036
"526","54107",0.01298664
"527","56025",0.0101843
"528","01055",0.01220654
"529","01081",0.00819888
"530","02020",0.00771558
"531","08031",0.00787722
"532","12021",0.02063882
"533","12086",0.01133396
"534","18097",0.0087284
"535","20045",0.0083928
"536","22063",0.00895176
"537","26037",0.0110967
"538","28059",0.01083268
"539","36019",0.01156316
"540","36061",0.01109702
"541","36091",0.01173434
"542","37001",0.01147842
"543","37101",0.00922726
"544","37135",0.00893034
"545","37179",0.00848898
"546","38035",0.0086552
"547","39017",0.0099663
"548","41017",0.0128047
"549","42033",0.01343356
"550","45057",0.01243634
"551","47009",0.01318676
"552","48121",0.00727298
"553","48375",0.0082511
"554","48453",0.0069994
"555","49011",0.00706862
"556","51013",0.0074341
"557","01101",0.01019908
"558","06073",0.00962722
"559","06077",0.008679
"560","10001",0.01115544
"561","12111",0.01531688
"562","13185",0.00831014
"563","17001",0.01310336
"564","17037",0.00879724
"565","17199",0.01206686
"566","18063",0.00968456
"567","19155",0.0117326
"568","24021",0.00988788
"569","24033",0.00900116
"570","26045",0.0120064
"571","26075",0.0118236
"572","26121",0.0112966
"573","26139",0.00990326
"574","27003",0.00945806
"575","31055",0.00906048
"576","31109",0.00915658
"577","33005",0.01275976
"578","34011",0.01024062
"579","35049",0.01467668
"580","37051",0.00813296
"581","42075",0.01321412
"582","47037",0.0082863
"583","48113",0.0075912
"584","48167",0.00949748
"585","51153",0.00708902
"586","51199",0.0111937
"587","53011",0.01019846
"588","55117",0.01191466
"589","56021",0.01046754
"590","06053",0.00942002
"591","08035",0.00812498
"592","12031",0.00946486
"593","13255",0.01136358
"594","18003",0.00967282
"595","22005",0.0080293
"596","26161",0.00928584
"597","28089",0.00927984
"598","29021",0.01128096
"599","29077",0.01087952
"600","34015",0.01109778
"601","34029",0.014943
"602","34039",0.01005284
"603","36009",0.01247012
"604","36055",0.01180284
"605","36109",0.00973388
"606","37027",0.01298488
"607","37063",0.00890752
"608","37191",0.01146882
"609","41003",0.01009866
"610","41067",0.00902466
"611","42025",0.01430828
"612","42069",0.01356092
"613","45003",0.01246132
"614","48213",0.0139188
"615","49035",0.00756916
"616","51177",0.0092241
"617","01051",0.0101938
"618","01115",0.01061168
"619","05131",0.0104493
"620","06055",0.01234728
"621","08059",0.01111936
"622","12001",0.0089909
"623","12069",0.01668856
"624","12127",0.01571952
"625","17119",0.01157304
"626","18105",0.00907288
"627","19169",0.00761866
"628","34027",0.01187892
"629","36065",0.01283684
"630","36075",0.01101742
"631","37147",0.00904828
"632","39101",0.01162826
"633","39173",0.01008394
"634","41071",0.01080872
"635","42011",0.01173892
"636","47155",0.01246268
"637","48099",0.00708438
"638","48367",0.0103071
"639","51121",0.00824464
"640","53029",0.0155543
"641","55027",0.01231252
"642","55039",0.01242734
"643","12071",0.0180596
"644","12105",0.01294446
"645","17019",0.00869798
"646","21029",0.01089046
"647","26073",0.00878732
"648","28035",0.00920084
"649","34003",0.0121601
"650","34041",0.01250756
"651","39003",0.01220656
"652","39043",0.01437568
"653","40145",0.01053284
"654","41053",0.01152752
"655","42043",0.01157238
"656","42089",0.01142728
"657","44005",0.01473822
"658","44009",0.01322458
"659","45073",0.0146561
"660","48187",0.00889888
"661","48215",0.0075803
"662","48329",0.00757792
"663","53061",0.0092314
"664","55079",0.00946546
"665","55101",0.01128434
"666","72113",0.01442452
"667","06047",0.00789016
"668","06081",0.01098358
"669","02170",0.00829592
"670","04027",0.01253834
"671","05119",0.01030456
"672","13045",0.00956236
"673","13067",0.00855486
"674","13139",0.01026324
"675","18085",0.01115298
"676","18163",0.01137836
"677","22033",0.0094748
"678","24013",0.01150188
"679","24045",0.01040282
"680","25027",0.01084654
"681","26065",0.00918966
"682","34019",0.01235664
"683","36063",0.01319218
"684","36079",0.01143344
"685","37049",0.01252956
"686","37151",0.01152664
"687","39141",0.01111184
"688","40109",0.0093141
"689","48245",0.01010752
"690","48303",0.00840802
"691","54003",0.00988984
"692","55073",0.01207856
"693","02090",0.0066255
"694","05085",0.00888686
"695","06001",0.00949742
"696","06097",0.01256736
"697","06113",0.0084816
"698","09015",0.0113044
"699","12011",0.01138378
"700","20177",0.01168646
"701","21067",0.0088872
"702","22017",0.01114968
"703","22079",0.0110341
"704","26147",0.01245476
"705","27171",0.00863028
"706","29095",0.01031346
"707","36051",0.01218252
"708","36103",0.01172746
"709","40027",0.00881112
"710","40101",0.01127636
"711","41035",0.01381276
"712","42101",0.00942326
"713","45019",0.01068318
"714","45047",0.01234824
"715","47141",0.01120672
"716","48257",0.0086484
"717","48381",0.01042804
"718","55071",0.01357638
"719","55139",0.01119694
"720","72031",0.01487886
"721","01095",0.0112933
"722","04017",0.01172582
"723","06107",0.00802962
"724","08077",0.01280104
"725","09001",0.01124802
"726","12089",0.01404716
"727","17163",0.01059736
"728","18035",0.0118139
"729","18091",0.011483
"730","18095",0.01197684
"731","21117",0.00963166
"732","22055",0.00870638
"733","24017",0.00876848
"734","26077",0.01008344
"735","27109",0.01066832
"736","27141",0.00782784
"737","34009",0.01668014
"738","35045",0.00998638
"739","36089",0.01186238
"740","37081",0.01027066
"741","39095",0.01089978
"742","40143",0.00966432
"743","44003",0.01319608
"744","48039",0.00795924
"745","48491",0.00836924
"746","53045",0.01403236
"747","55105",0.01145164
"748","72097",0.01562596
"749","06057",0.01707102
"750","12019",0.01012574
"751","12055",0.0225181
"752","12131",0.01243572
"753","15009",0.01185532
"754","23005",0.01210716
