"countyCode","population","total.Under.5.years","percent.Under.5.years","total.5.to.9.years","percent.5.to.9.years","total.10.to.14.years","percent.10.to.14.years","total.15.to.19.years","percent.15.to.19.years","total.20.to.24.years","percent.20.to.24.years","total.25.to.29.years","percent.25.to.29.years","total.30.to.34.years","percent.30.to.34.years","total.35.to.39.years","percent.35.to.39.years","total.40.to.44.years","percent.40.to.44.years","total.45.to.49.years","percent.45.to.49.years","total.50.to.54.years","percent.50.to.54.years","total.55.to.59.years","percent.55.to.59.years","total.60.to.64.years","percent.60.to.64.years","total.65.to.69.years","percent.65.to.69.years","total.70.to.74.years","percent.70.to.74.years","total.75.to.79.years","percent.75.to.79.years","total.80.to.84.years","percent.80.to.84.years","total.85.years.and.over","percent.85.years.and.over"
"667","06047",274765,21491,7.8,21488,7.8,24244,8.8,23679,8.6,20849,7.6,21005,7.6,18707,6.8,17043,6.2,16763,6.1,15689,5.7,15590,5.7,14610,5.3,12859,4.7,9009,3.3,8507,3.1,6579,2.4,3178,1.2,3475,1.3
"668","06081",769545,43019,5.6,43705,5.7,45890,6,40329,5.2,40911,5.3,56172,7.3,58731,7.6,57965,7.5,53003,6.9,54483,7.1,51718,6.7,51485,6.7,48096,6.2,40952,5.3,28942,3.8,21766,2.8,13610,1.8,18768,2.4
"669","02170",107610,7442,6.9,7799,7.2,8405,7.8,8262,7.7,6189,5.8,7030,6.5,7592,7.1,8238,7.7,6503,6,5880,5.5,6730,6.3,7502,7,6987,6.5,4911,4.6,3868,3.6,2144,2,837,0.8,1291,1.2
"670","04027",212128,15116,7.1,14200,6.7,15581,7.3,14792,7,17326,8.2,15296,7.2,13617,6.4,11047,5.2,11885,5.6,10983,5.2,11787,5.6,9228,4.4,11291,5.3,10038,4.7,9660,4.6,9338,4.4,7789,3.7,3154,1.5
"671","05119",392680,25704,6.5,25919,6.6,25387,6.5,22986,5.9,24856,6.3,30427,7.7,27548,7,25653,6.5,24086,6.1,24324,6.2,23410,6,27502,7,23774,6.1,20929,5.3,16236,4.1,10061,2.6,6391,1.6,7487,1.9
"672","13045",118121,6405,5.4,8279,7,8460,7.2,10122,8.6,9768,8.3,8529,7.2,7578,6.4,7554,6.4,6020,5.1,7990,6.8,7529,6.4,6290,5.3,6809,5.8,5656,4.8,4609,3.9,2798,2.4,2464,2.1,1261,1.1
"673","13067",756865,46770,6.2,47455,6.3,52596,6.9,50760,6.7,48053,6.3,56974,7.5,54283,7.2,55666,7.4,51090,6.8,55684,7.4,52184,6.9,50888,6.7,41634,5.5,31828,4.2,26903,3.6,14312,1.9,10432,1.4,9353,1.2
"674","13139",202148,13104,6.5,13726,6.8,15229,7.5,15685,7.8,11939,5.9,14698,7.3,12549,6.2,10930,5.4,13169,6.5,13454,6.7,13155,6.5,13187,6.5,11245,5.6,8010,4,9494,4.7,5546,2.7,3831,1.9,3197,1.6
"675","18085",79344,4458,5.6,5031,6.3,6211,7.8,4886,6.2,5600,7.1,4950,6.2,4591,5.8,5393,6.8,4421,5.6,4849,6.1,5335,6.7,4702,5.9,5849,7.4,3848,4.8,3844,4.8,2638,3.3,1190,1.5,1548,2
"676","18163",180974,10765,5.9,10973,6.1,11509,6.4,11221,6.2,11846,6.5,13570,7.5,12478,6.9,11573,6.4,10392,5.7,10698,5.9,10568,5.8,12188,6.7,13070,7.2,10287,5.7,6921,3.8,4996,2.8,3415,1.9,4504,2.5
"677","22033",440956,28730,6.5,28597,6.5,26158,5.9,31392,7.1,45503,10.3,35052,7.9,29861,6.8,27901,6.3,24791,5.6,23788,5.4,24093,5.5,25843,5.9,26670,6,21971,5,15936,3.6,10629,2.4,7470,1.7,6571,1.5
"678","24013",168429,8701,5.2,9066,5.4,11120,6.6,12652,7.5,10186,6,8973,5.3,9917,5.9,10719,6.4,7637,4.5,11959,7.1,13854,8.2,14022,8.3,12114,7.2,8838,5.2,7076,4.2,4412,2.6,3813,2.3,3370,2
"679","24045",103195,6336,6.1,5914,5.7,6806,6.6,8305,8,10618,10.3,7608,7.4,5450,5.3,5090,4.9,5879,5.7,6122,5.9,5921,5.7,7087,6.9,5813,5.6,5404,5.2,3871,3.8,3032,2.9,2188,2.1,1751,1.7
"680","25027",830839,44457,5.4,46773,5.6,51176,6.2,56046,6.7,56538,6.8,54527,6.6,53976,6.5,51978,6.3,48576,5.8,56828,6.8,61482,7.4,62675,7.5,55965,6.7,43247,5.2,33252,4,21523,2.6,16224,2,15596,1.9
"681","26065",292735,16513,5.6,15944,5.4,15934,5.4,28488,9.7,37289,12.7,23601,8.1,18107,6.2,17082,5.8,15795,5.4,16486,5.6,14729,5,15265,5.2,17686,6,14561,5,9877,3.4,5817,2,3802,1.3,5759,2
"682","34019",124714,5043,4,6887,5.5,7022,5.6,8528,6.8,7941,6.4,5600,4.5,5294,4.2,6828,5.5,6863,5.5,9359,7.5,10931,8.8,12308,9.9,8830,7.1,8320,6.7,5809,4.7,3851,3.1,2378,1.9,2922,2.3
"683","36063",210433,10889,5.2,10201,4.8,13221,6.3,12678,6,12336,5.9,13062,6.2,12522,6,12730,6,10651,5.1,13005,6.2,15440,7.3,14789,7,19096,9.1,12809,6.1,10225,4.9,6390,3,4589,2.2,5800,2.8
"684","36079",98892,4456,4.5,5287,5.3,5399,5.5,6771,6.8,6135,6.2,5380,5.4,6143,6.2,5386,5.4,5330,5.4,7461,7.5,8424,8.5,7635,7.7,7991,8.1,6186,6.3,4248,4.3,3614,3.7,1450,1.5,1596,1.6
"685","37049",102912,6169,6,7892,7.7,5849,5.7,5153,5,9253,9,8839,8.6,4745,4.6,5751,5.6,4940,4.8,6221,6,5711,5.5,5583,5.4,7218,7,5346,5.2,5693,5.5,4036,3.9,2883,2.8,1630,1.6
"686","37151",143351,8362,5.8,8180,5.7,9935,6.9,8538,6,8060,5.6,9397,6.6,7869,5.5,10008,7,7388,5.2,10334,7.2,9503,6.6,11241,7.8,9329,6.5,8848,6.2,5904,4.1,4583,3.2,3420,2.4,2452,1.7
"687","39141",76931,4042,5.3,4304,5.6,4389,5.7,4912,6.4,4728,6.1,5088,6.6,4381,5.7,4958,6.4,4579,6,5583,7.3,5907,7.7,5222,6.8,5482,7.1,4094,5.3,3569,4.6,3794,4.9,1207,1.6,692,0.9
"688","40109",792582,59318,7.5,55747,7,57241,7.2,50046,6.3,52443,6.6,63996,8.1,59644,7.5,55256,7,47035,5.9,45491,5.7,44121,5.6,50416,6.4,43551,5.5,36279,4.6,28033,3.5,17847,2.3,12216,1.5,13902,1.8
"689","48245",255001,17605,6.9,15460,6.1,18879,7.4,16084,6.3,17403,6.8,18936,7.4,18192,7.1,18094,7.1,15537,6.1,15249,6,14835,5.8,15945,6.3,16204,6.4,10331,4.1,9837,3.9,7374,2.9,3910,1.5,5126,2
